dim_hour,trip_count,dim_year,dim_month
17,59579,2022,6
18,57735,2022,6
19,47820,2022,6
20,38098,2022,6
21,30017,2022,6
22,22672,2022,6
23,17579,2022,6
0,12439,2022,7
1,8139,2022,7
2,6150,2022,7
3,3272,2022,7
4,1956,2022,7
5,2874,2022,7
6,7865,2022,7
7,15505,2022,7
8,27418,2022,7
9,24325,2022,7
10,23956,2022,7
11,29427,2022,7
12,34472,2022,7
13,37638,2022,7
14,39146,2022,7
15,43528,2022,7
16,51706,2022,7
17,65521,2022,7
18,62742,2022,7
19,54016,2022,7
20,44513,2022,7
21,35662,2022,7
22,26875,2022,7
23,20475,2022,7
0,13087,2022,8
1,8116,2022,8
2,5995,2022,8
3,3100,2022,8
4,2066,2022,8
5,3208,2022,8
6,9368,2022,8
7,18576,2022,8
8,33472,2022,8
9,26650,2022,8
10,24874,2022,8
11,29877,2022,8
12,36655,2022,8
13,38849,2022,8
14,41149,2022,8
15,44878,2022,8
16,53478,2022,8
17,69066,2022,8
18,64818,2022,8
19,54150,2022,8
20,42903,2022,8
21,32261,2022,8
22,26448,2022,8
23,21369,2022,8
0,11117,2022,9
1,6736,2022,9
2,4904,2022,9
3,2457,2022,9
4,1723,2022,9
5,2662,2022,9
6,7769,2022,9
7,16948,2022,9
8,34167,2022,9
9,25140,2022,9
10,22056,2022,9
11,27168,2022,9
12,32282,2022,9
13,34124,2022,9
14,35060,2022,9
15,39925,2022,9
16,47570,2022,9
17,60641,2022,9
18,54333,2022,9
19,42514,2022,9
20,30538,2022,9
21,23744,2022,9
22,20131,2022,9
23,18423,2022,9
0,8174,2022,10
1,5631,2022,10
2,4225,2022,10
3,2456,2022,10
4,1552,2022,10
5,2419,2022,10
6,6759,2022,10
7,14229,2022,10
8,28506,2022,10
9,21790,2022,10
10,19684,2022,10
11,23012,2022,10
12,28532,2022,10
13,29720,2022,10
14,31591,2022,10
15,35200,2022,10
16,41542,2022,10
17,50774,2022,10
18,44157,2022,10
19,31417,2022,10
20,22945,2022,10
21,18396,2022,10
22,15041,2022,10
23,11464,2022,10
0,4518,2022,11
1,3185,2022,11
2,2252,2022,11
3,1221,2022,11
4,987,2022,11
5,1959,2022,11
6,5218,2022,11
7,11431,2022,11
8,21753,2022,11
9,16273,2022,11
10,13636,2022,11
11,15469,2022,11
12,17790,2022,11
13,18767,2022,11
14,18667,2022,11
15,21039,2022,11
16,26488,2022,11
17,31961,2022,11
18,26176,2022,11
19,19126,2022,11
20,14305,2022,11
21,11767,2022,11
22,9121,2022,11
23,6745,2022,11
0,2810,2022,12
1,1736,2022,12
2,1427,2022,12
3,786,2022,12
4,752,2022,12
5,1129,2022,12
6,2810,2022,12
7,5919,2022,12
